order_id,account_id,bank_to,account_to,amount,k_symbol
29401,1,YZ,87144583,2452.0,SIPO
29411,7,IJ,34452903,4880.0,SIPO
29419,13,EF,35443323,2444.0,SIPO
29421,15,KL,24265569,3072.0,SIPO
29425,20,AB,3399968,2003.0,SIPO
29429,24,IJ,50810194,221.0,SIPO
29430,24,QR,46086388,7641.0,
29435,26,EF,12891853,10387.0,SIPO
29436,27,CD,28175699,4054.0,SIPO
29443,31,ST,42430687,10202.0,SIPO
29445,34,WX,21845197,1479.0,LEASING
29446,34,GH,19993174,502.0,SIPO
29448,35,MN,56788617,1022.0,SIPO
29449,35,MN,99848401,1362.0,SIPO
29470,47,KL,76620852,6940.0,SIPO
29471,47,KL,37438374,174.0,
29474,48,AB,50218236,6268.0,SIPO
29475,48,ST,2071685,1029.0,
29484,54,IJ,90659772,2280.0,SIPO
29485,55,EF,53077900,3086.0,SIPO
29489,59,IJ,38201576,695.0,SIPO
29490,59,ST,65394794,6190.0,
29495,62,EF,80010622,2273.0,SIPO
29498,65,YZ,74934333,686.0,SIPO
29499,65,CD,20976132,3315.0,
29502,67,YZ,45128363,6915.0,UVER
29503,67,YZ,57342255,6393.0,SIPO
29510,71,YZ,53903484,968.0,SIPO
29511,71,IJ,11544728,1602.0,
29517,73,CD,67077487,6061.0,SIPO
29522,75,IJ,74818038,3369.0,SIPO
29525,78,WX,32111394,9039.0,SIPO
29528,81,QR,18026441,1765.0,SIPO
29529,81,MN,28429049,62.0,
29535,85,IJ,65366345,3831.0,SIPO
29536,85,OP,81823444,1792.0,LEASING
29542,90,ST,68375611,2774.0,SIPO
29543,90,UV,90134667,2375.0,
29554,96,CD,62272125,4422.1,LEASING
29555,96,QR,83610647,908.0,SIPO
29570,101,KL,10926431,8037.0,SIPO
29571,101,GH,26152324,855.0,
29575,103,MN,2646291,7370.2,UVER
29576,104,MN,82782172,578.0,SIPO
29577,104,ST,8965999,1464.0,
29580,107,IJ,67744958,2015.0,SIPO
29581,107,IJ,9999049,1580.0,
29583,108,CD,62673318,4803.0,SIPO
29584,110,OP,24390584,3050.0,SIPO
29585,110,YZ,18149984,98.0,
29589,112,AB,41812431,2051.0,SIPO
29596,117,CD,59419953,2329.0,SIPO
29597,118,IJ,51605445,2449.0,SIPO
29611,129,IJ,69084489,3417.0,SIPO
29613,131,UV,29374742,6904.0,SIPO
29615,133,OP,90329002,3094.0,LEASING
29616,133,EF,45379865,4943.0,SIPO
29621,141,KL,30588215,3016.5,LEASING
29622,141,KL,65986662,3462.0,SIPO
29626,143,YZ,81564402,2272.0,SIPO
29639,154,MN,1314569,3891.0,SIPO
29644,159,GH,1882386,8694.0,SIPO
29645,160,QR,52787989,2374.0,SIPO
29646,160,ST,8854127,5552.0,
29647,161,GH,17877823,1389.0,SIPO
29648,161,WX,62378322,892.0,SIPO
29649,162,GH,1325488,3458.0,SIPO
29653,166,QR,26919090,3044.0,SIPO
29673,179,UV,16450244,7615.0,SIPO
29674,179,IJ,47684144,1066.0,
29677,181,KL,66975450,6780.0,SIPO
29680,184,IJ,65986150,1623.0,LEASING
29681,185,IJ,14592427,6526.0,SIPO
29682,186,GH,83964973,6862.0,SIPO
29684,188,AB,26629168,7426.0,SIPO
29685,189,GH,54808670,4244.0,SIPO
29686,189,OP,28932172,750.0,
29688,190,YZ,24279922,4519.0,SIPO
29689,190,WX,3125066,3233.0,
29692,191,YZ,89219265,4420.9,LEASING
29695,194,CD,39405787,2648.0,SIPO
29696,195,AB,37868559,6260.0,SIPO
29704,199,CD,15875643,1984.0,SIPO
29711,204,UV,59721839,1950.0,SIPO
29712,205,AB,99149345,4297.0,SIPO
29714,207,KL,71656483,403.0,SIPO
29715,207,GH,4786676,10.0,
29721,209,QR,17469549,483.0,SIPO
29722,209,EF,52778792,41.0,
29726,212,EF,58462047,13841.0,SIPO
29730,216,KL,85333066,1486.0,SIPO
29731,216,GH,38205874,1513.0,SIPO
29734,218,IJ,10956299,3182.0,LEASING
29739,222,WX,52384513,3440.9,LEASING
29740,224,EF,63218277,3503.0,SIPO
29745,227,GH,28972292,9381.0,SIPO
29749,230,ST,66906124,5615.0,SIPO
29750,230,AB,95935326,1527.0,
29752,231,WX,51732343,2073.0,SIPO
29755,234,MN,20655334,2809.0,SIPO
29756,235,MN,79934978,895.0,SIPO
29757,235,KL,52539473,1321.0,
29766,241,QR,28285497,1344.0,SIPO
29767,241,MN,27381342,632.0,
29771,243,KL,55282419,1041.0,LEASING
29772,243,GH,73269855,3067.0,SIPO
29788,255,WX,88934081,5323.0,SIPO
